"0114709","Toy Story (1995)"
"0113497","Jumanji (1995)"
"0113228","Grumpier Old Men (1995)"
"0114885","Waiting to Exhale (1995)"
"0113041","Father of the Bride Part II (1995)"
"0113277","Heat (1995)"
"0114319","Sabrina (1995)"
"0112302","Tom and Huck (1995)"
"0114576","Sudden Death (1995)"
"0113189","GoldenEye (1995)"
"0112346","American President, The (1995)"
"0112896","Dracula: Dead and Loving It (1995)"
"0112453","Balto (1995)"
"0113987","Nixon (1995)"
"0112760","Cutthroat Island (1995)"
"0112641","Casino (1995)"
"0114388","Sense and Sensibility (1995)"
"0113101","Four Rooms (1995)"
"0112281","Ace Ventura: When Nature Calls (1995)"
"0113845","Money Train (1995)"
"0113161","Get Shorty (1995)"
"0112722","Copycat (1995)"
"0112401","Assassins (1995)"
"0114168","Powder (1995)"
"0113627","Leaving Las Vegas (1995)"
"0114057","Othello (1995)"
"0114011","Now and Then (1995)"
"0114117","Persuasion (1995)"
"0112682","City of Lost Children, The (Cité des enfants perdus, La) (1995)"
"0115012","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"
"0112792","Dangerous Minds (1995)"
"0114746","Twelve Monkeys (a.k.a. 12 Monkeys) (1995)"
"0112431","Babe (1995)"
"0112818","Dead Man Walking (1995)"
"0113442","It Takes Two (1995)"
"0112697","Clueless (1995)"
"0112749","Cry, the Beloved Country (1995)"
"0114279","Richard III (1995)"
"0112819","Dead Presidents (1995)"
"0114272","Restoration (1995)"
"0113855","Mortal Kombat (1995)"
"0114681","To Die For (1995)"
"0113347","How to Make an American Quilt (1995)"
"0114369","Seven (a.k.a. Se7en) (1995)"
"0114148","Pocahontas (1995)"
"0114916","When Night Is Falling (1995)"
"0114814","Usual Suspects, The (1995)"
"0113819","Mighty Aphrodite (1995)"
"0110299","Lamerica (1994)"
"0112499","Big Green, The (1995)"
"0113158","Georgia (1995)"
"0113321","Home for the Holidays (1995)"
"0110877","Postman, The (Postino, Il) (1994)"
"0113419","Indian in the Cupboard, The (1995)"
"0116260","Eye for an Eye (1996)"
"0113862","Mr. Holland's Opus (1995)"
"0116126","Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)"
"0118002","Two if by Sea (1996)"
"0115683","Bio-Dome (1996)"
"0116839","Lawnmower Man 2: Beyond Cyberspace (1996)"
"0113149","French Twist (Gazon maudit) (1995)"
"0113118","Friday (1995)"
"0116367","From Dusk Till Dawn (1996)"
"0113010","Fair Game (1995)"
"0113537","Kicking and Screaming (1995)"
"0113828","Misérables, Les (1995)"
"0115644","Bed of Roses (1996)"
"0115676","Big Bully (1996)"
"0114367","Screamers (1995)"
"0113973","Nico Icon (1995)"
"0112744","Crossing Guard, The (1995)"
"0116731","Juror, The (1996)"
"0112445","White Balloon, The (Badkonake sefid) (1995)"
"0114660","Things to Do in Denver When You're Dead (1995)"
"0112379","Antonia's Line (Antonia) (1995)"
"0114039","Once Upon a Time... When We Were Colored (1995)"
"0112365","Angels and Insects (1995)"
"0118158","White Squall (1996)"
"0116151","Dunston Checks In (1996)"
"0115697","Black Sheep (1996)"
"0113972","Nick of Time (1995)"
"0117002","Mary Reilly (1996)"
"0114825","Vampire in Brooklyn (1995)"
"0115639","Beautiful Girls (1996)"
"0115759","Broken Arrow (1996)"
"0113403","In the Bleak Midwinter (1995)"
"0113247","Hate (Haine, La) (1995)"
"0113283","Heidi Fleiss: Hollywood Madam (1995)"
"0115907","City Hall (1996)"
"0115734","Bottle Rocket (1996)"
"0117102","Mr. Wrong (1996)"
"0118040","Unforgettable (1996)"
"0116483","Happy Gilmore (1996)"
"0112579","Bridges of Madison County, The (1995)"
"0110251","Nobody Loves Me (Keiner liebt mich) (1994)"
"0117110","Muppet Treasure Island (1996)"
"0112646","Catwalk (1996)"
"0112573","Braveheart (1995)"
"0075314","Taxi Driver (1976)"
"0113326","Rumble in the Bronx (Hont faan kui) (1995)"
"0115645","Before and After (1996)"
"0112373","Anne Frank Remembered (1995)"
"0115033","Young Poisoner's Handbook, The (1995)"
"0116606","If Lucy Fell (1996)"
"0114536","Steal Big, Steal Little (1995)"
"0106473","Boys of St. Vincent, The (1992)"
"0103859","Boomerang (1992)"
"0109424","Chungking Express (Chung Hing sam lam) (1994)"
"0116324","Flirting With Disaster (1996)"
"0110647","NeverEnding Story III, The (1994)"
"0110217","Jupiter's Wife (1994)"
"0114131","Pie in the Sky (1996)"
"0113451","Jade (1995)"
"0116130","Down Periscope (1996)"
"0113756","Man of the Year (1995)"
"0118055","Up Close and Personal (1996)"
"0115685","Birdcage, The (1996)"
"0112585","Brothers McMullen, The (1995)"
"0112442","Bad Boys (1995)"
"0112342","Amazing Panda Adventure, The (1995)"
"0112461","Basketball Diaries, The (1995)"
"0112427","Awfully Big Adventure, An (1995)"
"0109093","Amateur (1994)"
"0112384","Apollo 13 (1995)"
"0114287","Rob Roy (1995)"
"0112288","Addiction, The (1995)"
"0112462","Batman Forever (1995)"
"0061395","Beauty of the Day (Belle de jour) (1967)"
"0112495","Beyond Rangoon (1995)"
"0112541","Blue in the Face (1995)"
"0109370","Canadian Bacon (1995)"
"0112642","Casper (1995)"
"0112688","Clockers (1995)"
"0112715","Congo (1995)"
"0112740","Crimson Tide (1995)"
"0109508","Crumb (1994)"
"0112851","Desperado (1995)"
"0112857","Devil in a Blue Dress (1995)"
"0112864","Die Hard: With a Vengeance (1995)"
"0112887","Doom Generation, The (1995)"
"0113071","First Knight (1995)"
"0113114","Free Willy 2: The Adventure Home (1995)"
"0113243","Hackers (1995)"
"0113464","Jeffrey (1995)"
"0113481","Johnny Mnemonic (1995)"
"0113492","Judge Dredd (1995)"
"0113500","Jury Duty (1995)"
"0113540","Kids (1995)"
"0113677","Living in Oblivion (1995)"
"0113690","Lord of Illusions (1995)"
"0107447","Love & Human Remains (1993)"
"0113729","Mad Love (1995)"
"0113749","Mallrats (1995)"
"0113820","Mighty Morphin Power Rangers: The Movie (1995)"
"0110604","Mute Witness (1994)"
"0110620","Nadja (1994)"
"0113957","Net, The (1995)"
"0113986","Nine Months (1995)"
"0114095","Party Girl (1995)"
"0114194","Prophecy, The (1995)"
"0114241","Reckless (1995)"
"0114323","Safe (1995)"
"0114345","Scarlet Letter, The (1995)"
"0114436","Showgirls (1995)"
"0114478","Smoke (1995)"
"0114496","Something to Talk About (1995)"
"0114508","Species (1995)"
"0114558","Strange Days (1995)"
"0058450","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
"0114663","Three Wishes (1995)"
"0114702","Total Eclipse (1995)"
"0114682","To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
"0114781","Under Siege 2: Dark Territory (1995)"
"0114798","Unstrung Heroes (1995)"
"0114805","Unzipped (1995)"
"0114887","Walk in the Clouds, A (1995)"
"0114898","Waterworld (1995)"
"0114928","White Man's Burden (1995)"
"0114938","Wild Bill (1995)"
"0109340","Browning Version, The (1994)"
"0112602","Bushwhacked (1995)"
"0111579","Burnt by the Sun (Utomlyonnye solntsem) (1994)"
"0110882","Before the Rain (Pred dozhdot) (1994)"
"0112471","Before Sunrise (1995)"
"0112508","Billy Madison (1995)"
"0112438","Babysitter, The (1995)"
"0112571","Boys on the Side (1995)"
